Scientific Name,Common Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Parnassius clodius,Clodius Parnassian,32,,37,2,13,78,41,22,78,1
Parnassius phoebus behrii,Phoebus Parnassian ('Sierra Nevada'),11,2,12,1,4,12,14,9,12,15
Parnassius sp.,,7,16,,1,10,11,,,2,0
Papilio zelicaon,Anise Swallowtail,5,3,5,,,4,10,1,6,1
Papilio indra,Indra Swallowtail,2,1,1,,,5,1,,1,0
Papilio rutulus,Western Tiger Swallowtail,,,5,1,3,12,32,4,20,0
Papilio eurymedon,Pale Swallowtail,,,,,,,3,,0,1
Papilio sp.,,,,,1,,,,,1,0
Neophasia menapia,Pine White,,,,,,,26,1,0,0
Pontia beckerii,Becker's White,,,,1,,1,2,1,0,0
Pontia sisymbrii,Spring White,6,3,,,,,,,0,0
Pontia protodice,Checkered White,,2,,19,1,48,89,7,45,3
Pontia occidentalis,Western White,6,,5,,3,3,2,3,4,0
Pieris rapae,Cabbage White,,,1,,,2,5,10,0,0
white sp.,,7,2,4,1,21,2,249,4,35,3
Anthocharis sara stella,Stella Sara Orange-tip,,,,,,,2,,1,0
Euchloe ausonides,Large Marble,,,,,,,,,4,0
Colias philodice,Clouded Sulphur,,,4,2,,,3,3,4,0
Colias eurytheme,Orange Sulphur,50,30,12,,46,124,149,53,67,5
Colias behrii,Sierra Sulphur,47,91,55,2,77,287,59,182,112,101
sulphur sp.,,,16,,1,2,,3,1,0,0
pieridae sp.,,,,2,,,6,,,1,0
Lycaena arota,Tailed Copper,,,1,,,,4,7,169,13
Lycaena phlaes,American Copper,,,15,5,,,,,0,0
Lycaena cupreus,Lustrous Copper,32,13,41,10,12,74,65,3,146,27
Lycaena editha,Edith's Copper,3,51,118,43,19,32,14,81,122,211
Lycaena rubida,Ruddy Copper,2,5,96,10,10,30,20,9,16,5
Lycaena heteronea,Blue Copper,1,,116,47,,9,7,14,10,4
Lycaena helloides,Purplish Copper,1,3,,,,1,,,0,0
Lycaena nivalis,Lilac-bordered Copper,13,8,15,,2,,,2,0,1
Lycaena mariposa,Mariposa Copper,9,20,21,,1,11,2,5,3,8
Lycaenidae sp.,,,52,22,5,1,2,1,1,1,0
Satyrium behrii,Behr's Hairstreak,6,2,,2,,,,29,43,65
Satyrium fuliginosum,Sooty Hairstreak,,,,,,,40,,11,0
Satyrium californica,California Hairstreak,,,,,,,2,,2,1
Satyrium sylvinum,Sylvan Hairstreak,,,,22,,18,11,12,21,12
Satyrium saepium,Hedgerow Hairstreak,,2,4,,,,17,,5,1
Callophrys s. lemberti,Sheridan's Hairstreak,2,,,,,,10,1,8,0
Callophrys eryphon,Western Pine Elfin,,,,,,,2,,8,0
Strymon melinus,Gray Hairstreak,1,1,,,,1,,,2,0
Hairstreak sp.,,,,,,,,,,3,0
Brephidium exile,Western Pygmy-blue,,2,,,21,4,87,,2,0
Leptotes marina,Marine Blue,,,,,,,6,,4,0
Echinargus isola,Reakirt's Blue,,,,1,3,,,,24,0
Everes amyntula,Western Tailed-blue,,,1,,4,2,1,4,1,1
Hemiarqus ceranus,Ceranus Blue,,,,,,,,,1,0
Celastrina ladon echo,Spring Azure/Echo Blue,1,,,5,1,5,1,,0,0
Euphilotes battoides,Square-spotted Blue,,,,,,1,5,1,15,0
Euphilotes enoptes,Pacific Dotted Blue,2,1,4,,6,3,7,1,7,0
Glaucopsyche piasus,Arrowhead Blue,,,,,,,,,4,0
Glaucopsyche lygdamus,Silvery Blue,1,,,,,10,7,,0,0
Lycaeides idas,Northern Blue,,2,,,,2,,80,0,0
Euphilotes enoptes/ancilla,,,,,,,,,,2,0
Plebejus melissa fridayi,Melissa Blue (high elevation),,10,12,4,8,4,96,52,476,64
Plebejus anna,Anna's Blue,,,,,,,,,,2
Plebejus saepiolus,Greenish Blue,57,17,76,72,78,190,96,66,337,150
Plebejus icaroides,Boisduval's Blue,1,,12,5,17,5,42,18,80,10
Plebejus shasta,Shasta Blue,8,256,140,102,47,30,15,35,93,247
Plebejus acmon,Acmon Blue,,,3,1,2,23,19,11,17,24
Plebejus lupini,Lupine Blue,2,3,2,8,8,4,2,,4,1
P. acmon or P. lupini,,,,,,,17,7,1,7,5
Plebejus sp.,,,17,,5,1,2,2,,98,63
Agriades glandon podarce,'Sierra' Arctic Blue,20,16,11,6,54,90,75,13,95,32
Agriades cassiope,Heather Blue,,,32,45,17,11,4,,0,7
blue sp.,,2,43,49,1,25,60,68,28,60,57
Apodemia mormo,Mormon Metalmark,,,,,,,1,1,0,0
Speyeria cybele leto,Great Spangled Fritillary,,1,,,,,,,0,0
Speyeria nokomis,Nokomis Fritillary,,2,,,,2,2,,0,0
Speyeria zerene,Zerene Fritillary,1,,,8,,10,126,4,10,4
Speyeria callippe,Callippe Fritillary,,,1,,,,,,0,0
Speyeria egleis,Great Basin Fritillary,10,2,74,11,2,18,40,25,13,21
Speyeria hydaspe,Hydaspe Fritillary,,7,,,,,,,0,0
Speyeria mormonia,Mormon Fritillary,,10,59,32,35,83,35,144,17,164
Speyeria hesperis irene,Irene Fritillary,20,,,,,,,,0,0
S. egleis or S. mormonia,,,,,,,52,,,,3
Speyeria sp.,,,,40,15,12,5,43,17,31,81
Boloria epithore,Pacific Fritillary,10,3,1,,,1,,,1,0
Fritillary sp.,,3,489,191,,,,,,,0
Chlosyne whitneyi,Rockslide Checkerspot,5,10,9,,3,15,3,,5,4
Phyciodes campestris,Field Crescent,1,4,7,9,3,4,12,11,21,25
Phyciodes orseis,California Crescent,,,7,,2,1,,,8,1
Phyciodes mylitta,Mylitta Crescent,2,2,,,1,23,5,1,14,0
Euphydryas chalcedona,Variable Checkerspot,50,2,,,,1,15,,0,0
Euphydryas editha,Edith's Checkerspot,27,,5,,37,125,27,3,78,8
Euphydryas sp.,,,9,,,,1,,,0,0
Polygonia satyrus,Satyr Comma,,,,,,,2,1,0,1
Polygonia gracilis zephyrus,Hoary Comma,4,,25,,3,4,19,5,19,1
Nymphalis californica,California Tortoiseshell,,,1,1,,52,13,356,18,1
Nymphalis antiopa,Mourning Cloak,1,2,6,1,,6,42,10,7,1
Nymphalis milberti,Milbert's Tortoiseshell,,,5,,,2,9,10,8,0
Nymphalis sp.,,,1,,,,1,2,,2,0
Vanessa virginiensis,American lady,2,,2,,1,29,12,3,3,0
Vanessa cardui,Painted Lady,,1,,3,,2,59,2,27,1
Vanessa annabella,West Coast Lady,,,,,,,6,,2,0
Vanessa atalanta,Red Admiral,,,,,,3,1,,0,6
Vanessa sp.,,,4,,,,2,5,,0,0
Junonia coenia,Common Buckeye,,,,,1,11,6,,1,1
Limenitis weidemeyerii,Weidemeyer's Admiral,1,,1,3,,2,,2,1,0
Limenitis lorquini,Lorquin's Admiral,6,,10,1,,14,10,6,15,9
Lorquin x Weidemeyer's Admiral,,,,,,,,,,2,0
Coenonympha tullia california,California' Common Ringlet,,,,,,4,1,,0,1
Cercyonis pegala walkerensis,Common Wood-Nymph,,,,,,,10,,4,0
Cercyonis sthenele,Great Basin Wood-Nymph,2,1,,7,16,7,14,75,6,28
Cercyonis oetus,Small Wood-Nymph,,26,,4,4,1,6,11,8,8
Cercyonis sp.,,,1,,,,,10,1,6,0
Oeneis chryxus ivallda,Chryxus Arctic,2,3,1,,14,19,10,,6,1
Danaus plexippus,Monarch,,4,1,4,2,9,4,1,1,0
Danaus gilippus,Queen,,,,,,1,,,0,0
comma sp.,,,4,,,,1,0,,0,0
Thorybes mexicana,Mexican Cloudywing,18,,9,3,12,76,54,1,153,4
Erynnis pacuvius,Pacuvius Duskywing,,,,,,,,,4,0
duskywing sp.,,,2,,,,,,1,3,0
Pyrgus ruralis,Two-banded Checkered-Skipper,,,1,,,3,15,,11,0
Pyrgus communis,Common Checkered-Skipper,,,,2,1,7,5,1,19,2
Common/White Checkered Skipper,,,,,,,,,,1,0
Hesperia juba,Juba Skipper,,,,,4,4,,,1,0
Hesperia comma colorado,Western Branded Skipper,5,,6,,27,5,16,9,6,8
Hesperia miriamae,Sierra Skipper,,,5,,1,,,,0,0
Hesperia nevada,Nevada Skipper,2,,1,,,,,,0,0
Hesperia sp.,,,3,,,,15,3,,1,6
Polites sabuleti,Sandhill Skipper,58,61,326,133,226,80,8,7,59,140
Polites sonora,Sonoran Skipper,31,6,33,8,17,8,1,15,5,8
Ochlodes sylvanoides,Woodland Skipper,,4,,,,4,106,5,1,2
skipper sp.,,3,29,,3,20,5,8,1,46,9
,,,,,,,,,,,
# individuals,,601,1383,1761,679,961,1954,2191,1504,2934,1690
# species (does not include unknowns),,47,46,53,40,46,70,76,58,58,53
# participants,,8,14,25,41,38,48,53,41,65,21
